"TRIGRAMME","NOM_VALIDE","CD_NOM","STATUT_FR"
"Leugra","Leucanthemum graminifolium (L.) Lam., 1779",105793,"P"
"Leuhet","Leucanthemum heterophyllum (Willd.) DC., 1838",105794,"D"
"Leuirc","Leucanthemum ircutianum DC., 1838",105795,"P"
"Leuxsup","Leucanthemum x superbum (Bergmans ex J.W.Ingram) D.H.Kent, 1990",105818,"M"
"Leulac","Leucanthemum laciniatum (Huter, Porta & Rigo) N.Terracc., 1891",159909,"D"
"Leuleg","Leucanthemum legraeanum (Rouy) B.Bock & J.-M.Tison, 2012",717291,"P"
"Leumax","Leucanthemum maximum (Ramond) DC., 1837",105799,"P"
"Leumer","Leucanthemum meridionale Le Grand, 1881",105801,"E"
"Leumon","Leucanthemum monspeliense (L.) H.J.Coste, 1903",105803,"P"
"Leupal","Leucanthemum pallens (J.Gay ex Perreym.) DC., 1838",105807,"P"
"Leusub","Leucanthemum subglaucum de Laramb., 1861",105814,"P"
"Leuvir","Leucanthemum virgatum (Desr.) Clos, 1870",105816,"P"
"Leuvul","Leucanthemum vulgare Lam., 1779",105817,"P"
"Leuvulvul","Leucanthemum vulgare var. vulgare Lam., 1779",148192,"P"
"Leuvulaut","Leucanthemum vulgare var. autumnale (St.-Amans) Briq. & Cavill., 1916",148191,"P"
"Lonas","Lonas Adans., 1763",194263,"I"
"Lonann","Lonas annua (L.) Vines & Druce, 1914",106538,"M"
"Matricaria","Matricaria L., 1753",194495,"P"
"Mataur","Matricaria aurea (Loefl.) Sch.Bip., 1860",107435,"M"
"Matcha","Matricaria chamomilla L., 1753",107440,"P"
"Matdis","Matricaria discoidea DC., 1838",107446,"I"
"Nananthea","Nananthea DC., 1838",195053,"S"
"Nanper","Nananthea perpusilla (Loisel.) DC., 1838",109224,"S"
"Pentzia","Pentzia Thunb., 1800",715554,"I"
"Pensuf","Pentzia suffruticosa (L.) Hutch. ex Merxm., 1967",717830,"M"
"Plagius","Plagius L'Hér. ex DC., 1838",196351,"P"
"Plaflo","Plagius flosculosus (L.) Alavi & Heywood, 1976",113791,"S"
"Plagra","Plagius grandis (L.) Alavi & Heywood, 1976",968819,"M"
"Santolina","Santolina L., 1753",197354,"P"
"Sanben","Santolina benthamiana Jord. & Fourr, 1869",120784,"P"
"Sancha","Santolina chamaecyparissus L., 1753",120785,"I"
"Sancor","Santolina corsica Jord. & Fourr., 1869",120786,"P"
"Sandec","Santolina decumbens Mill., 1768",611570,"E"
"Sanros","Santolina rosmarinifolia L., 1753",120802,"M"
"Sanvil","Santolina villosa Mill., 1768",717866,"P"
"Sanvir","Santolina virens Mill., 1768",120808,"M"
"Soliva","Soliva Ruiz & Pav., 1794",197747,"I"
"Solses","Soliva sessilis Ruiz & Pav., 1794",124214,"I"
"Solsto","Soliva stolonifera (Brot.) Loudon, 1830",611480,"M"
"Tanacetum","Tanacetum L., 1753",198201,"P"
"Tanaud","Tanacetum audibertii (Req.) DC., 1838",125456,"S"
"Tanbal","Tanacetum balsamita L., 1753",125457,"M"
"Tancin","Tanacetum cinerariifolium (Trevir.) Sch.Bip., 1844",125459,"I"
"Tancoc","Tanacetum coccineum (Willd.) Grierson, 1974",162467,"M"
"Tancor","Tanacetum corymbosum (L.) Sch.Bip., 1844",125460,"P"
"Tanmac","Tanacetum macrophyllum (Waldst. & Kit.) Sch.Bip., 1844",125464,"I"
"Tanpar","Tanacetum parthenium (L.) Sch.Bip., 1844",125469,"I"
"Tanparpar","Tanacetum parthenium var. parthenium (L.) Sch.Bip., 1844",718786,"I"
"Tanparpra","Tanacetum parthenium var. praealtum (Vent.) B.Bock, 2012",621339,"I"
"Tanvul","Tanacetum vulgare L., 1753",125474,"I"
"Tripleurospermum","Tripleurospermum Sch.Bip., 1844",607013,"P"
"Tricau","Tripleurospermum caucasicum (Willd.) Hayek, 1924",611625,"M"
"Tridis","Tripleurospermum disciforme (C.A.Mey.) Sch.Bip., 1844",611624,"M"
"Triino","Tripleurospermum inodorum (L.) Sch.Bip., 1844",127613,"P"
"Trimar2","Tripleurospermum maritimum (L.) W.D.J.Koch, 1847",127614,"P"
"Trimarmar","Tripleurospermum maritimum subsp. maritimum (L.) W.D.J.Koch, 1847",762185,"A"
"Trimarvin","Tripleurospermum maritimum subsp. vinicaule P.D.Sell, 2006",989809,"P"
"Vogtia","Vogtia Oberpr. & Sonboli, 2012",715649,"P"
"Vogann","Vogtia annua (L.) Oberpr. & Sonboli, 2012",717697,"P"
"x","x Anthemimatricaria P.Fourn., 1928",198979,"D"
"x AAnt2","x Anthemimatricaria dominii Rohlena, 1930",130174,"D"
"x AAnt3","x Anthemimatricaria inolens P.Fourn., 1928",130175,"D"
"x AAnt4","x Anthemimatricaria maleolens P.Fourn., 1928",130176,"D"
"x AAnt5","x Anthemimatricaria sulfurea P.Fourn., 1928",130177,"D"
"Leucantheminae","Leucantheminae K.Bremer & Humphries, 1993",920214,"P"
"Leucanthemopsidinae","Leucanthemopsidinae Oberpr. & Vogt, 2007",920222,"P"
"Pentziinae","Pentziinae Oberpr. & Vogt, 2007",920223,"I"
"Santolininae","Santolininae Willk., 1870",920216,"P"
"Astereae","Astereae Cass., 1819",919476,"P"
"Asterinae","Asterinae Dumort., 1827",920232,"P"
"Baccharidinae","Baccharidinae Less., 1830",920224,"I"
"Bellidinae","Bellidinae Willk., 1870",920233,"P"
"Boltoniinae","Boltoniinae G.L.Nesom, 2000",920225,"I"
"Brachyscominae","Brachyscominae G.L.Nesom, 1994",920234,"I"
"Conyzinae","Conyzinae Sch.Bip., 1844",920235,"P"
"Hinterhuberinae","Hinterhuberinae Cuatrec., 1969",920227,"I"
"Aster","Aster L., 1753",189558,"P"
"Astalp","Aster alpinus L., 1753",84622,"P"
"Astalpalp","Aster alpinus subsp. alpinus L., 1753",958222,"P"
"Astame","Aster amellus L., 1753",84626,"P"
"Astxalp","Aster x alpinoamellus Novopokr. ex Tzvelev, 1994",84731,"D"
"Astpyr","Aster pyrenaeus Desf. ex DC., 1805",84699,"S"
"Asttri","Aster trinervius Roxb., 1814",610836,"M"
"Astwil","Aster willkommii Sch.Bip., 1851",159902,"P"
"Astwilcat","Aster willkommii subsp. catalaunicus (Willk. & Costa) A.Bolòs, 1949",612601,"P"
"Baccharis","Baccharis L., 1753",189696,"I"
"Bachal","Baccharis halimifolia L., 1753",85474,"J"
"Bellidiastrum","Bellidiastrum Scop., 1760",606854,"P"
"Belmic","Bellidiastrum michelii Cass., 1817",85720,"P"
"Bellis","Bellis L., 1753",189811,"P"
"Belann","Bellis annua L., 1753",85728,"P"
"Belber","Bellis bernardii Boiss. & Reut., 1852",85730,"E"
"Belper","Bellis perennis L., 1753",85740,"P"
"Belrot","Bellis rotundifolia (Desf.) Boiss. & Reut., 1852",85743,"Q"
"Belsyl","Bellis sylvestris Cirillo, 1792",85745,"P"
"Bellium","Bellium L., 1771",189812,"P"
"Belbel","Bellium bellidioides L., 1771",85747,"P"
"Belniv","Bellium nivale Req., 1825",85750,"E"
"Boltonia","Boltonia L'Hér., 1788",606858,"I"
"Bolast","Boltonia asteroides (L.) L'Hér., 1789",610635,"M"
"Brachyscome","Brachyscome Cass., 1816",715556,"I"
"Bracol","Brachyscome collina (Sond.) Benth., 1867",610765,"M"
"Brahet","Brachyscome heterodonta DC., 1836",86239,"D"
"Callistephus","Callistephus Cass., 1825",190212,"M"
"Calchi","Callistephus chinensis (L.) Nees, 1832",87464,"M"
"Callap","Calotis lappulacea Benth., 1837",87520,"A"
"Dicint","Dichrocephala integrifolia (L.f.) Kuntze, 1891",446959,"A"
"Erigeron","Erigeron L., 1753",192282,"P"
"Eriacr","Erigeron acris L., 1753",611688,"P"
"Eriacracr","Erigeron acris subsp. acris L., 1753",612619,"P"
"Eriacrang","Erigeron acris subsp. angulosus (Gaudin) Vacc., 1909",612620,"P"
"Eriacrdro","Erigeron acris subsp. droebachensis (O.F.Mull.) Arcang., 1882",612621,"Q"
"Eriacrser","Erigeron acris subsp. serotinus (Weihe ex Rchb.) Greuter, 2003",612622,"P"
"Erialp","Erigeron alpinus L., 1753",96736,"P"
"Eriann","Erigeron annuus (L.) Desf., 1804",96739,"I"
"Eriatt","Erigeron atticus Vill., 1788",96742,"P"
"Eribil2","Erigeron bilbaoanus (J.Rémy) Cabrera, 1939",96743,"Q"
"Eribla","Erigeron blakei Cabrera, 1941",96745,"I"
"Eribon","Erigeron bonariensis L., 1753",96746,"I"
"EricanxErisum","Erigeron canadensis x Erigeron sumatrensis",611693,"P"
"Erican","Erigeron canadensis L., 1753",96749,"I"
"Eriflo","Erigeron floribundus (Kunth) Sch.Bip., 1865",611690,"I"
"Erigla","Erigeron glabratus Hoppe & Hornsch. ex Bluff & Fingerh., 1825",96761,"P"
"Erigla2","Erigeron glaucus Ker Gawl., 1815",96764,"M"
"Erixadv","Erigeron x advenigenus Borbás, 1893",160098,"D"
"Erixcha","Erigeron x chanousii Vacc. ex Fiori, 1927",96822,"D"
"Erixdav","Erigeron x daveauana (Sennen) Greuter, 2007",611692,"D"
"Erixfou","Erigeron x foucaudii B.Bock, 2012",611691,"P"
"Erixgla","Erigeron x glabrescens Brügger, 1886",96823,"D"
"Erixgla2","Erigeron x glareosus Brügger, 1880",96824,"D"
"Erixhel","Erigeron x helveticus Brügger, 1880",96825,"D"
"Erixhue","Erigeron x huelsenii Vatke, 1871",96826,"D"
"Erixrha","Erigeron x rhaeticus Brügger, 1880",96827,"D"
"Erixvan","Erigeron x vandasii Vierh., 1906",611689,"D"
"Erixvie","Erigeron x vierhapperi (Briq. & Cav.) Janch., 1932",611687,"D"
"Erikar2","Erigeron karvinskianus DC., 1836",96775,"I"
"Erineg","Erigeron neglectus A.Kern., 1871",96790,"P"
"Eripao","Erigeron paolii Gamisans, 1977",96793,"E"
"Eriphi","Erigeron philadelphicus L., 1753",96794,"M"
"Erisch","Erigeron schleicheri Gremli, 1886",96805,"P"
"Eristr","Erigeron strigosus Muhl. ex Willd., 1803",96813,"Q"
"Erisum","Erigeron sumatrensis Retz., 1810",96814,"I"
"Eriuni","Erigeron uniflorus L., 1753",96816,"P"
"Eriuniuni","Erigeron uniflorus subsp. uniflorus L., 1753",134221,"P"
"Eriuniara","Erigeron uniflorus subsp. aragonensis (Vierh.) O.Bolòs & Vigo, 1983",134218,"P"
"Eurybia","Eurybia (Cass.) Cass., 1820",606895,"M"
"Eurdiv","Eurybia divaricata (L.) G.L.Nesom, 1995",610589,"M"
"Euthamia","Euthamia (Nutt.) Cass., 1825",715561,"I"
"Eutgra","Euthamia graminifolia (L.) Nutt., 1818",97862,"I"
"Galatella","Galatella Cass., 1825",606899,"P"
"Gallin","Galatella linosyris (L.) Rchb.f., 1854",99244,"P"
"Gallinlin","Galatella linosyris var. linosyris (L.) Rchb.f., 1854",612471,"P"
"Gallinarm","Galatella linosyris var. armoricana (Rouy) B.Bock & J.-M.Tison, 2012",718693,"E"
"Galsed","Galatella sedifolia (L.) Greuter, 2003",610594,"P"
"Galsedsed","Galatella sedifolia subsp. sedifolia (L.) Greuter, 2003",612633,"P"
"Galseddra","Galatella sedifolia subsp. dracunculoides (Lam.) Greuter, 2003",621922,"D"
"Galsedrig","Galatella sedifolia subsp. rigida (DC.) Greuter, 2005",612634,"P"
"Grindelia","Grindelia Willd., 1807",192947,"P"
"Grisqu","Grindelia squarrosa (Pursh) Dunal, 1819",100583,"M"
"Lagsin","Lagenophora sinuosa Lannuzel, Gâteblé & Jian Wang ter, 2021",986870,"A"
"Lagsub","Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter, 2019",986871,"A"
"Olearia","Olearia Moench, 1802",195395,"I"
"Olexhaa","Olearia x haastii Hook.f., 1863",110023,"M"
"Olexsci","Olearia x scillionensis Dorr.Sm.",110024,"M"
"Olepan","Olearia paniculata (J.R.Forst. & G.Forst.) Druce, 1917",110017,"M"
"Olesol","Olearia solandri (Hook.f.) Hook.f., 1863",110020,"M"
"Oletra","Olearia traversiorum (F.Muell.) Hook.f., 1867",110021,"M"
"Olevir","Olearia virgata (Hook.f.) Hook.f., 1863",110022,"M"
"Pacifigeron","Pacifigeron G.L.Nesom, 1994",446526,"A"
"Pacrap","Pacifigeron rapensis (F.Br.) G.L.Nesom, 1994",448090,"A"
"Psialt","Psiadia altissima (DC.) Drake, 1903",790727,"A"
"Psiamy","Psiadia amygdalina (Lam.) Cordem., 1895",706707,"A"
"Psianc","Psiadia anchusifolia (Poir.) Cordem., 1895",706708,"A"
"Psiarg","Psiadia argentea (Lam.) Cordem., 1895",706709,"A"
"Psiasp","Psiadia aspera (Bory) Cordem., 1895",706710,"A"
"Psiboi","Psiadia boivinii (Klatt) Rob., 1911",706711,"A"
"Psical","Psiadia callocephala (Bory) Cordem., 1895",706712,"A"
"Psiden","Psiadia dentata (Cass.) DC., 1836",706713,"A"
"Psiins","Psiadia insignis Cordem., 1895",706714,"A"
"Psilau","Psiadia laurifolia (Lam.) Cordem., 1895",706715,"A"
"Psimel","Psiadia melastomatoides (Lam.) A.J.Scott, 1991",706717,"A"
"Psimon","Psiadia montana (Cordem.) Cordem., 1895",706718,"A"
"Psipas","Psiadia pascalii Labat & Beentje, 2004",807487,"A"
"Psiret","Psiadia retusa (Lam.) DC., 1836",706719,"A"
"Psiriv","Psiadia rivalsii A.J.Scott, 1991",706720,"A"
"Psisal","Psiadia salaziana Cordem., 1895",706721,"A"
"Psiser","Psiadia sericea Cordem., 1895",706722,"A"
"Solidago","Solidago L., 1753",197745,"P"
"Solcan","Solidago canadensis L., 1753",124164,"J"
"Solgig","Solidago gigantea Aiton, 1789",124168,"J"
"Solxnie","Solidago x niedereri Khek, 1905",124209,"D"
"Sollat","Solidago latissimifolia Mill., 1768",721809,"Q"
"Solrug","Solidago rugosa Mill., 1768",124194,"A"
"Solsem","Solidago sempervirens L., 1753",124196,"A"
"Solvir","Solidago virgaurea L., 1753",124205,"P"
"Solvirvir","Solidago virgaurea subsp. virgaurea L., 1753",141299,"P"
"Solvirmin","Solidago virgaurea subsp. minuta (L.) Arcang., 1882",141296,"P"
"Symphyotrichum","Symphyotrichum Nees, 1832",446750,"I"
"Symdum","Symphyotrichum dumosum (L.) G.L.Nesom, 1995",611643,"M"
"Symeri","Symphyotrichum ericoides (L.) G.L.Nesom, 1995",125328,"Q"
"Symxame","Symphyotrichum x amethystinum (Nutt.) G.L.Nesom, 1995",125336,"M"
"Symxsal","Symphyotrichum x salignum (Willd.) G.L.Nesom, 1995",125337,"I"
"Symxtar","Symphyotrichum x tardiflorum (L.) Greuter, M.V.Agab. & Wagenitz, 2005",717877,"M"
"Symxver","Symphyotrichum x versicolor (Willd.) G.L.Nesom, 1995",125338,"M"
"Symlae","Symphyotrichum laeve (L.) Á.Löve & D.Löve, 1982",448410,"M"
"Symlan","Symphyotrichum lanceolatum (Willd.) G.L.Nesom, 1995",125330,"J"
"Symlat","Symphyotrichum lateriflorum (L.) Á.Löve & D.Löve, 1982",717576,"M"
"Symnov","Symphyotrichum novae-angliae (L.) G.L.Nesom, 1995",125331,"I"
"Symnov2","Symphyotrichum novi-belgii (L.) G.L.Nesom, 1995",448412,"M"
"Symnovnov","Symphyotrichum novi-belgii var. novi-belgii (L.) G.L.Nesom, 1995",612575,"M"
"Sympil","Symphyotrichum pilosum (Willd.) G.L.Nesom, 1995",717577,"I"
"Sympun","Symphyotrichum puniceum (L.) Á.Löve & D.Löve, 1982",718026,"A"
"Symsqu","Symphyotrichum squamatum (Spreng.) G.L.Nesom, 1995",125333,"I"
"Symsub","Symphyotrichum subulatum (Michx.) G.L.Nesom, 1995",448413,"A"
"Symtra","Symphyotrichum tradescantii (L.) G.L.Nesom, 1995",448414,"Q"
"Tripolium","Tripolium Nees, 1832",607014,"P"
"Tripan","Tripolium pannonicum (Jacq.) Dobrocz., 1962",127625,"P"
"Vitsim","Vittadinia simulans N.T.Burb.",673059,"A"
"x","x Solidaster",199040,"M"
"x SSol2","x Solidaster hybridus Wernham, 1932",130466,"M"
"Machaerantherinae","Machaerantherinae G.L.Nesom, 1994",920229,"I"
"Solidagininae","Solidagininae O.Hoffm., 1890",920237,"P"
"Symphyotrichinae","Symphyotrichinae G.L.Nesom, 1994",920231,"I"
"Athroismeae","Athroismeae Panero, 2002",919475,"I"
"Centipedinae","Centipedinae Panero, 2005",920206,"I"
"Centipeda","Centipeda Lour., 1790",190445,"I"
"Cencun","Centipeda cunninghamii (DC.) A.Braun & Asch., 1867",788793,"I"
"Cenmin","Centipeda minima (L.) A.Braun & Asch., 1868",89878,"A"
"Bahieae","Bahieae B.G.Baldwin, 2002",919499,"I"
"Apostates","Apostates Lander, 1989",446677,"A"
"Aporap","Apostates rapae (F.Br.) Lander, 1989",448314,"A"
"Schkuhria","Schkuhria Roth, 1797",197465,"I"
"Schpin","Schkuhria pinnata (Lam.) Kuntze, 1898",121530,"I"
"Calenduleae","Calenduleae Cass., 1819",919473,"P"
"Calendula","Calendula L., 1753",190178,"P"
"Calarv","Calendula arvensis L., 1763",87420,"P"
"Caloff","Calendula officinalis L., 1753",87429,"M"
"Calste","Calendula stellata Cav., 1791",87434,"M"
"Calsuf","Calendula suffruticosa Vahl, 1791",610683,"M"
"Calsufful","Calendula suffruticosa subsp. fulgida (Raf.) Guadagno, 1922",938357,"M"
"Calsuftom","Calendula suffruticosa subsp. tomentosa (Ball) Murb., 1905",967622,"M"
"Caltri","Calendula tripterocarpa Rupr., 1856",87437,"M"
"Chrysanthemoides","Chrysanthemoides Fabr., 1759",190777,"I"
"Chrmon","Chrysanthemoides monilifera (L.) Norl., 1943",91012,"I"
"Chrmonmon","Chrysanthemoides monilifera subsp. monilifera (L.) Norl., 1943",133259,"I"
"Dimorphotheca","Dimorphotheca Moench, 1794 [nom. cons.]",948718,"M"
"Dimplu","Dimorphotheca pluvialis (L.) Moench, 1794",95020,"M"
"Dimsin","Dimorphotheca sinuata DC., 1838",95022,"M"
"Osteospermum","Osteospermum L., 1753",195582,"M"
"Ostbar","Osteospermum barberae (Harv.) Norl., 1943",111821,"M"
"Osteck","Osteospermum ecklonis (DC.) Norl., 1943",111823,"M"
"Ostfru","Osteospermum fruticosum (L.) Norl., 1943",111824,"M"
"Ostjuc","Osteospermum jucundum (E.Phillips) Norl., 1943",111825,"M"
"Coreopsideae","Coreopsideae Lindl., 1829",919490,"P"
"Bidens","Bidens L., 1753",189871,"P"
"Bidalb","Bidens alba (L.) DC., 1836",446835,"D"
"Bidalbrad","Bidens alba var. radiata (Sch.Bip.) R.E.Ballard ex Melchert, 1975",448588,"D"
"Bidaor","Bidens aoraiensis M.L.Grant ex Sherff, 1937",445442,"A"
"Bidari","Bidens aristosa (Michx.) Britton, 1893",85939,"M"
"Bidaur","Bidens aurea (Aiton) Sherff, 1915",85940,"I"
"Bidaus","Bidens australis Spreng., 1826",445443,"A"
"Bidbec","Bidens beckiana (F.Br.) Sherff, 1937",445444,"A"
"Bidbip","Bidens bipinnata L., 1753",608062,"I"
"Bidbip2","Bidens bipontina Sherff, 1928",445460,"A"
"Bidbit","Bidens biternata (Lour.) Merr. & Sherff, 1929",705940,"M"
"Bidcer","Bidens cernua L., 1753",85946,"P"
"Bidcon","Bidens connata Muhl. ex Willd., 1803",85949,"I"
"Bidcor","Bidens cordifolia Sch.Bip., 1856",445446,"A"
"Biddel","Bidens deltoidea J.W.Moore, 1933",445447,"A"
"Biddis","Bidens discoidea (Torr. & A.Gray) Britton, 1893",85953,"M"
"Bideva","Bidens evapelliana W.L.Wagner, J.R.Clark & Lorence, 2014",779147,"A"
"Bidfro","Bidens frondosa L., 1753",85957,"J"
"Bidgla","Bidens glabrata (A.Gray) Sherff, 1937",445448,"A"
"Bidgla2","Bidens glandulifera M.L.Grant ex Sherff, 1937",445449,"A"
"Bidhen","Bidens henryi Sherff, 1923",445451,"A"
"Bidxgar","Bidens x garumnae Jeanj. & Debray, 1933",85991,"D"
"Bidxmad","Bidens x madiotii H.J.Coste ex P.Fourn., 1926",85993,"I"
"Bidxpol","Bidens x polakii Velen., 1928",85994,"D"
"Bidlan","Bidens lantanoides A.Gray, 1861",445453,"A"
"Bidmey","Bidens meyeri V.A.Funk & K.R.Wood, 2014",784368,"A"
"Bidmic","Bidens microcephala W.L.Wagner, J.R.Clark & Lorence, 2014",779010,"A"
"Bidmoo","Bidens mooreensis M.L.Grant ex Sherff, 1937",445455,"A"
"Bidoro","Bidens orofenensis M.L.Grant ex Sherff, 1937",445456,"A"
"Bidpil","Bidens pilosa L., 1753",85972,"I"
"Bidpol","Bidens polycephala Sch.Bip., 1856",445457,"A"
"Bidrad","Bidens radiata Thuill., 1799",85978,"P"
"Bidrai","Bidens raiateensis J.W.Moore, 1933",445458,"A"
"Bidsai","Bidens saint-johniana Sherff, 1937",445459,"A"
"Bidsub","Bidens subalternans DC., 1836",85981,"I"
"Bidtri","Bidens tripartita L., 1753",85986,"P"
"Bidtritri","Bidens tripartita subsp. tripartita L., 1753",132137,"P"
"Bidtribul","Bidens tripartita subsp. bullata (L.) Rouy, 1903",132135,"P"
"Bidtricom","Bidens tripartita subsp. comosa (A.Gray) A.Haines, 2010",718213,"I"
"Bidtri2","Bidens triplinervia Humb., Bonpl. & Kunth, 1818",717733,"M"
"Bidtrimac","Bidens triplinervia var. macrantha (Wedd.) Sherff, 1925",718654,"M"
"Biduap","Bidens uapensis (F.Br.) Sherff, 1937",445461,"A"
"Bidvul","Bidens vulgata Greene, 1899",85989,"I"
"Bidwic","Bidens wichmanii W.L.Wagner, J.R.Clark & Lorence, 2014",779148,"A"
"Bidwoo","Bidens woodii W.L.Wagner, J.R.Clark & Lorence, 2014",779146,"A"
"Coreopsis","Coreopsis L., 1753",191141,"I"
"Corbas","Coreopsis basalis (A.Dietr.) S.F.Blake, 1916",92441,"M"
"Corgra","Coreopsis grandiflora Hogg ex Sweet, 1836",92448,"M"
"Corlan","Coreopsis lanceolata L., 1753",92449,"I"
"Cortin","Coreopsis tinctoria Nutt., 1821",92453,"M"
"Corver","Coreopsis verticillata L., 1753",611095,"M"
"Cosmos","Cosmos Cav., 1791",191204,"M"
"Cosbip2","Cosmos bipinnatus Cav., 1791",92623,"M"
"Cossul","Cosmos sulphureus Cav., 1791",92624,"M"
"Dahlia","Dahlia Cav., 1791",191528,"M"
"Dahxcul","Dahlia x cultorum Thorsrud & Reisaeter, 1948",94382,"M"
"Dahpin","Dahlia pinnata Cav., 1791",94376,"M"
"Fitchia","Fitchia Hook.f., 1845",445471,"A"
"Fitcor","Fitchia cordata M.L.Grant & Carlquist, 1963",446963,"A"
"Fitcun","Fitchia cuneata J.W.Moore, 1933",446964,"A"
"Fitcuncun","Fitchia cuneata subsp. cuneata J.W.Moore, 1933",448638,"A"
"Fitcuntah","Fitchia cuneata subsp. tahaensis M.L.Grant & Carlquist, 1963",448639,"A"
"Fitman","Fitchia mangarevensis F.Br.",446965,"A"
"Fitnut","Fitchia nutans Hook.f., 1845",446966,"A"
"Fitrap","Fitchia rapensis F.Br., 1935",446967,"A"
"Fittah","Fitchia tahitensis Nadeaud, 1873",446968,"A"
"Oparanthus","Oparanthus Sherff, 1937",445480,"A"
"Opacor","Oparanthus coriaceus (F.Br.) Sherff, 1937",446976,"A"
"Opahiv","Oparanthus hivoanus (O.Deg. & Sherff) R.K.Shannon & W.L.Wagner, 1997",446971,"A"
"Opaxint","Oparanthus x intermedius E.E.Sherff, 1937",971581,"A"
"Oparap","Oparanthus rapensis (F.Br.) Sherff, 1937",446977,"A"
"Opatei","Oparanthus teikiteetinii (J.Florence & Stuessy) R.K.Shannon & W.L.Wagner, 1997",448363,"A"
"Opativ","Oparanthus tiva W.L.Wagner & Lorence, 2011",773968,"A"
"Opawoo","Oparanthus woodii W.L.Wagner & Lorence, 2011",773947,"A"
"Thelesperma","Thelesperma Less., 1831",715559,"M"
"Thegra","Thelesperma gracile (Torr.) A.Gray, 1849",717665,"M"
"Doroniceae","Doroniceae Panero, 2005",919705,"P"
"Doronicum","Doronicum L., 1753",191928,"P"
"Doraus","Doronicum austriacum Jacq., 1774",95209,"P"
"Dorcar","Doronicum carpetanum Boiss. & Reut. ex Willk., 1865",95213,"Q"
"Dorclu","Doronicum clusii (All.) Tausch, 1828",95215,"P"
"Dorcol","Doronicum columnae Ten., 1815",95216,"M"
"Dorcor","Doronicum corsicum (Loisel.) Poir., 1812",95221,"P"
"Dorgra","Doronicum grandiflorum Lam., 1786",95225,"P"
"Dorxexc","Doronicum x excelsum (N.E.Br.) Stace, 1991",611162,"M"
"Dorxpar","Doronicum x pardalianchoides Bornm. & W.Koch, 1930",95250,"D"
"Dorori","Doronicum orientale Hoffm., 1808",95237,"M"
"Dorpar","Doronicum pardalianches L., 1753",95239,"P"
"Dorpla","Doronicum plantagineum L., 1753",95240,"P"
"Eupatorieae","Eupatorieae Cass., 1819",919482,"P"
"Ageratinae","Ageratinae Less., 1832",920109,"M"
"Eupatoriinae","Eupatoriinae Dumort., 1829",920112,"P"
"Ageratina","Ageratina Spach, 1841",188877,"I"
"Ageade","Ageratina adenophora (Spreng.) R.M.King & H.Rob., 1970",80387,"I"
"Ageratum","Ageratum L., 1753",188878,"M"
"Agecon","Ageratum conyzoides L., 1753",445438,"M"
"Agehou","Ageratum houstonianum Mill., 1768",80390,"M"
"Chrint","Chromolaena integrifolia (Bertero ex Spreng.) R.M.King & H.Rob., 1970",631054,"A"
"Chrtri","Chromolaena trigonocarpa (Griseb.) R.M.King & H.Rob., 1970",629331,"A"
"Cridom","Critonia dominicensis King, 1972",632798,"A"
"Crimac","Critonia macropoda DC., 1836",629447,"A"
"Eupatorium","Eupatorium L., 1753",192415,"P"
"Eupcan","Eupatorium cannabinum L., 1753",97434,"P"
"Eupcancan","Eupatorium cannabinum subsp. cannabinum L., 1753",134346,"P"
"Eupcancor","Eupatorium cannabinum subsp. corsicum (Req. ex Loisel.) P.Fourn., 1939",134347,"P"
"Eupmed","Eupatorium medullosum Urb., 1903",629703,"A"
"Liatris","Liatris Gaertn. ex Schreb., 1791",194109,"M"
"Liaspi","Liatris spicata (L.) Willd., 1802",105871,"M"
"Miklat","Mikania latifolia Sm., 1819",630167,"A"
"Mikova","Mikania ovalis Griseb., 1861",630168,"A"
"Liatrinae","Liatrinae R.M.King & H.Rob., 1980",920115,"M"
"Oxylobinae","Oxylobinae R.M.King & H.Rob., 1978",920117,"I"
"Gnaphalieae","Gnaphalieae Cass. ex Lecoq & Juill., 1831",919472,"P"
"Anaphalis","Anaphalis DC., 1838",189123,"M"
"Anamar","Anaphalis margaritacea (L.) Benth., 1873",82353,"M"
"Antennaria","Antennaria Gaertn., 1791",189227,"P"
"Antcar","Antennaria carpatica (Wahlenb.) Bluff & Fingerh., 1825",82794,"P"
"Antcarhel","Antennaria carpatica subsp. helvetica (Chrtek & Pouzar) Chrtek & Pouzar, 1985",718308,"P"
"Antdio","Antennaria dioica (L.) Gaertn., 1791",82796,"P"
"Bombycilaena","Bombycilaena (DC.) Smoljan., 1955",189948,"P"
"Bomdis","Bombycilaena discolor (Pers.) Laínz, 1973",86135,"M"
"Bomere","Bombycilaena erecta (L.) Smoljan., 1955",86136,"P"
"Castroviejoa","Castroviejoa",606866,"P"
"Casfri","Castroviejoa frigida (Labill.) Galbany, L.Sáez & Benedí, 2004",610577,"P"
"Eucinv","Euchiton involucratus (G.Forst.) Holub, 1974",943912,"D"
"Filago","Filago L., 1753",192563,"P"
"Filarv","Filago arvensis L., 1753",98669,"P"
"Filcar","Filago carpetana (Lange) Chrtek & Holub, 1963",611763,"P"
"Fileri","Filago eriocephala Guss., 1826",98676,"M"
"Filgad","Filago gaditana (Pau) Andrés-Sánchez & Galbany, 2010",717759,"I"
"Filger","Filago germanica L., 1763",98681,"P"
